id,title,description,availability,condition,price,link,image_link,brand,mpn,product_type,custom_label_0,returnable,return_policy_days,return_policy_info,additional_image_link
AutomataCupido,Carrusel de 'Cupido Enamorado',Una obra maestra de ingeniería en madera. Cupido escribe su carta de amor mientras el escenario gira. Luces en el interior para más realce.,in stock,new,12.00 USD,https://ideasydtalles.github.io/catalogo/?p=AutomataCupido,https://i.postimg.cc/bwL1S3QK/Carrusel_Love10.png,Ideas & D'talles,AutomataCupido,amor,amor,false,0,,"https://i.postimg.cc/bwL1S3QK/Carrusel_Love10.png,https://i.postimg.cc/44rPXL59/Carrusel_Love1.png,https://i.postimg.cc/tRVdvdjT/Carrusel_Love2.png,https://i.postimg.cc/MpYmbWSz/Carrusel_Love4.png,https://i.postimg.cc/DfbQpQTP/Carrusel_Love6.png,https://i.postimg.cc/yY4mMJ1r/Carrusel_Love7.png,https://i.postimg.cc/wjFDR0XH/Carrusel_Love9.png"
CarruselFotos,Rueda de la fortuna de Fotos,Exhibidor de fotos giratorio con forma de estrella/rueda de la fortuna. Capacidad para múltiples fotos. Un regalo dinámico.,in stock,new,8.00 USD,https://ideasydtalles.github.io/catalogo/?p=CarruselFotos,https://i.postimg.cc/L61PvmjD/Carrusel_Fotos1.png,Ideas & D'talles,CarruselFotos,amor,amor,false,0,,"https://i.postimg.cc/L61PvmjD/Carrusel_Fotos1.png,https://i.postimg.cc/9QP7518Z/Carrusel_Fotos2.png"
CajaExplosiva,Caja Explosiva 'Sorpresa',"La caja que se convierte en una experiencia. Al quitar la tapa, las paredes caen revelando capas de mensajes y fotos.",in stock,new,9.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaExplosiva,https://i.postimg.cc/YCPJ7fvC/Caja_Explosiva1.png,Ideas & D'talles,CajaExplosiva,amor,amor,false,0,,"https://i.postimg.cc/YCPJ7fvC/Caja_Explosiva1.png,https://i.postimg.cc/9fqsQR9f/Caja_Explosiva2.png,https://i.postimg.cc/SRmPdgv8/Caja_Explosiva4.png,https://i.postimg.cc/T1Q44r8d/Caja_Explosiva7.png,https://i.postimg.cc/nhNwgFW8/Caja_Explosiva12.png,https://i.postimg.cc/WbWym66D/Caja_Explosiva9.png"
CajaLove,Caja para regalo 'Love',La caja ideal para regalar a ese alguien. Al abrir sus dos tapas tienes espacio para colocar lo que desees.,in stock,new,9.00 USD,https://ideasydtalles.github.io/catalogo/?p=CajaLove,https://i.postimg.cc/vTJWr7Lg/Caja_Turquesa_Love1.png,Ideas & D'talles,CajaLove,amor,amor,false,0,,"https://i.postimg.cc/vTJWr7Lg/Caja_Turquesa_Love1.png,https://i.postimg.cc/QC9QKY5K/Caja_Turquesa_Love2.png,https://i.postimg.cc/d3k2ZNdh/Caja_Turquesa_Love3.png,https://i.postimg.cc/0jMYKXm5/Caja_Turquesa_Love4.png,https://i.postimg.cc/3N4X0fph/Caja_Turquesa_Love5.png"
BuzonSnoopy,Buzón Decorativo Snoopy,Encantador buzón rojo con Snoopy durmiendo en el tejado. Ideal para entregar cartas de amor o dulces.,in stock,new,10.00 USD,https://ideasydtalles.github.io/catalogo/?p=BuzonSnoopy,https://i.postimg.cc/FFg5SLBR/Buzon_Snoopy2.png,Ideas & D'talles,BuzonSnoopy,amor,amor,false,0,,"https://i.postimg.cc/FFg5SLBR/Buzon_Snoopy2.png,https://i.postimg.cc/XqWRhjpF/Buzon_Snoopy1.png,https://i.postimg.cc/N0rZj9Xy/Buzon_Snoopy3.png,https://i.postimg.cc/sf9dWhNQ/Buzon_Snoopy4.jpg,https://i.postimg.cc/y6X4RZbP/Buzon_Snoopy5.png"
BuzonLove,Buzón Decorativo Love,Encantador buzón rosado con d'talles para mostrar amor. Ideal para entregar cartas de amor o dulces.,in stock,new,10.00 USD,https://ideasydtalles.github.io/catalogo/?p=BuzonLove,https://i.postimg.cc/1zmDr3wy/Buzon-Rosa-Amor2.png,Ideas & D'talles,BuzonLove,amor,amor,false,0,,"https://i.postimg.cc/1zmDr3wy/Buzon-Rosa-Amor2.png,https://i.postimg.cc/R0SwLZf7/Buzon_Rosa_Amor3.png,https://i.postimg.cc/VNKnGPWn/Buzon_Rosa_Amor1.png,https://i.postimg.cc/BncxFK8m/Buzon_Rosa_Amor4.png,https://i.postimg.cc/FHgjSLfR/Buzon_Rosa_Amor5.png,https://i.postimg.cc/52MBj3tW/Buzon_Rosa_Amor6.png"
PortavelasLove,Adorno 'LOVE' con Rosa,Centro de mesa romántico. Palabra LOVE en cursiva roja con una rosa verde entrelazada.,in stock,new,4.25 USD,https://ideasydtalles.github.io/catalogo/?p=PortavelasLove,https://i.postimg.cc/mD7x8zZK/Adorno_Love_Flor1.png,Ideas & D'talles,PortavelasLove,amor,amor,false,0,,"https://i.postimg.cc/mD7x8zZK/Adorno_Love_Flor1.png,https://i.postimg.cc/JzhLMzK3/Adorno_Love_Flor3.png"
LamparaLove,Lámpara LED LOVE,Lámpara de mesa con la palabra LOVE iluminada. Crea un ambiente cálido y romántico.,in stock,new,12.00 USD,https://ideasydtalles.github.io/catalogo/?p=LamparaLove,https://i.postimg.cc/nMbGTrzT/Lampara_Love1.png,Ideas & D'talles,LamparaLove,amor,amor,false,0,,"https://i.postimg.cc/nMbGTrzT/Lampara_Love1.png,https://i.postimg.cc/LhK3v5XG/Lampara_Love2.png,https://i.postimg.cc/yW4ynxdM/Lampara_Love3.png,https://i.postimg.cc/gcX9M7j5/Lampara_Love5.png,https://i.postimg.cc/Kcd6C53q/Lampara_Love6.png,https://i.postimg.cc/FFdtP6zM/Lampara_Love7.png"
AmorBici,Adorno 'Amor en Bici',Silueta decorativa de pareja paseando en bicicleta. Un detalle sencillo y lleno de amor.,in stock,new,5.50 USD,https://ideasydtalles.github.io/catalogo/?p=AmorBici,https://i.postimg.cc/BQHr31xn/Love_Bici1.png,Ideas & D'talles,AmorBici,amor,amor,false,0,,"https://i.postimg.cc/BQHr31xn/Love_Bici1.png,https://i.postimg.cc/jjdmygBM/Love_Bici2.png,https://i.postimg.cc/Vkw3kLR9/Love_Bici3.png,https://i.postimg.cc/ZKpGmyrW/Love_Bici4.png"
CarritoLove,Carrito del amor,"Hermoso carrito funcional (se mueve), con lindas decoraciones y espacio para colocar otros objetos",in stock,new,5.50 USD,https://ideasydtalles.github.io/catalogo/?p=CarritoLove,https://i.postimg.cc/rwL1zJpV/Carrito_Lila1.png,Ideas & D'talles,CarritoLove,amor,amor,false,0,,"https://i.postimg.cc/rwL1zJpV/Carrito_Lila1.png,https://i.postimg.cc/c437sj0Q/Carrito_Lila2.png,https://i.postimg.cc/dQpmcvPr/Carrito_Lila3.png,https://i.postimg.cc/VspBP1Q0/Carrito_Lila4.png"
